item_id,game_id
1,161936
2,161936
3,161936
4,161936
5,161936
6,161936
7,182028
8,182028
9,182028
10,182028
11,182028
12,182028
13,167791
14,167791
15,167791
16,167791
17,167791
18,167791
19,167791
20,12333
21,12333
22,12333
23,12333
24,12333
25,187645
26,187645
27,187645
28,187645
29,187645
30,187645
31,187645
32,187645
33,169786
34,120677
35,120677
36,120677
37,120677
38,120677
39,120677
40,120677
41,120677
42,220308
43,220308
44,84876
45,84876
46,84876
47,84876
48,84876
49,84876
50,84876
51,173346
52,115746
53,115746
54,115746
55,115746
56,115746
57,115746
58,115746
59,115746
60,115746
61,115746
62,102794
63,102794
64,102794
65,102794
66,102794
67,102794
68,102794
69,102794
70,102794
71,102794
72,96848
73,96848
74,96848
75,96848
76,96848
77,96848
78,96848
79,96848
80,124361
81,124361
82,124361
83,124361
84,124361
85,124361
86,124361
87,170216
88,170216
89,170216
90,170216
91,164153
92,164153
93,164153
94,164153
95,164153
96,164153
97,164153
98,164153
99,164153
100,164928
101,164928
102,164928
103,164928
104,164928
105,164928
106,164928
107,25613
108,25613
109,25613
110,25613
111,25613
112,25613
113,25613
114,25613
115,2651
116,2651
117,2651
118,2651
119,2651
120,2651
121,2651
122,2651
123,2651
124,177736
125,177736
126,177736
127,177736
128,177736
129,177736
130,233078
131,233078
132,233078
133,233078
134,233078
135,233078
136,233078
137,221107
138,221107
139,221107
140,221107
141,221107
142,221107
143,221107
144,55690
145,55690
146,28720
147,28720
148,28720
149,28720
150,28720
151,28720
152,28720
153,28720
154,124742
155,124742
156,171623
157,171623
158,171623
159,171623
160,171623
161,171623
162,230802
163,230802
164,230802
165,230802
166,230802
167,230802
168,230802
169,230802
170,68448
171,68448
172,68448
173,68448
174,68448
175,68448
176,68448
177,68448
178,122515
179,162886
180,162886
181,162886
182,18602
183,18602
184,18602
185,12493
186,12493
187,12493
188,12493
189,12493
190,12493
191,110327
192,110327
193,110327
194,110327
195,157354
196,157354
197,157354
198,62219
199,205896
200,159675
201,159675
202,159675
203,159675
204,159675
205,93
206,93
207,93
208,93
209,93
210,93
211,93
212,93
213,93
214,163412
215,163412
216,163412
217,216132
218,216132
219,216132
220,40834
221,40834
222,40834
223,40834
224,40834
225,40834
226,40834
227,40834
228,40834
229,40834
230,201808
231,201808
232,201808
233,201808
234,201808
235,201808
236,201808
237,37111
238,37111
239,37111
240,37111
241,103885
242,103885
243,103885
244,103885
245,103885
246,103885
247,103885
248,103885
249,150376
250,150376
251,172386
252,172386
253,172386
254,172386
255,172386
256,172386
257,172386
258,2511
259,2511
260,2511
261,2511
262,2511
263,2511
264,2511
265,2511
266,2511
267,73439
268,36218
269,36218
270,36218
271,36218
272,30549
273,30549
274,30549
275,30549
276,30549
277,30549
278,30549
279,30549
280,30549
281,194655
282,194655
283,194655
284,194655
285,194655
286,194655
287,194655
288,194655
289,185343
290,127023
291,127023
292,127023
293,127023
294,127023
295,127023
296,127023
297,127023
298,127023
299,127023
300,104162
301,104162
302,104162
303,104162
304,104162
305,104162
306,104162
307,104162
308,34635
309,161970
310,161970
311,161970
312,161970
313,161970
314,155426
315,9609
316,9609
317,9609
318,9609
319,9609
320,9609
321,9609
322,103343
323,103343
324,103343
325,103343
326,103343
327,103343
328,155068
329,155068
330,155068
331,155068
332,147020
333,147020
334,147020
335,147020
336,147020
337,147020
338,147020
339,147020
340,147020
341,147020
342,146652
343,146652
344,146652
345,146652
346,146652
347,146652
348,70149
349,70149
350,70149
351,70149
352,70149
353,70149
354,70149
355,198928
356,198928
357,148949
358,148949
359,14996
360,14996
361,14996
362,14996
363,14996
364,43111
365,43111
366,43111
367,43111
368,43111
369,43111
370,43111
371,123260
372,123260
373,197376
374,197376
375,197376
376,17133
377,17133
378,17133
379,17133
380,17133
381,17133
382,17133
383,14105
384,14105
385,14105
386,126042
387,126042
388,126042
389,171131
390,171131
391,91
392,91
393,91
394,91
395,91
396,182874
397,182874
398,182874
399,21050
400,21050
401,21050
402,21050
403,21050
404,21050
405,77423
406,77423
407,77423
408,77423
409,77423
410,77423
411,77423
412,77423
413,77423
414,54043
415,54043
416,9216
417,9216
418,9216
419,172287
420,172287
421,172287
422,172287
423,172287
424,172287
425,172287
426,172287
427,176189
428,176189
429,176189
430,176189
431,176189
432,176189
433,176189
434,104006
435,148228
436,148228
437,148228
438,148228
439,148228
440,148228
441,148228
442,148228
443,148228
444,148228
445,155821
446,155821
447,4098
448,4098
449,4098
450,4098
451,4098
452,4098
453,4098
454,4098
455,4098
456,4098
457,10630
458,10630
459,10630
460,10630
461,10630
462,10630
463,215
464,215
465,215
466,215
467,215
468,215
469,215
470,215
471,215
472,161533
473,161533
474,161533
475,161533
476,161533
477,161533
478,161533
479,129437
480,129437
481,129437
482,129437
483,129437
484,9209
485,9209
486,9209
487,9209
488,9209
489,9209
490,170042
491,170042
492,170042
493,170042
494,170042
495,170042
496,170042
497,170042
498,170042
499,170042
500,31481
501,31481
502,31481
503,31481
504,31481
505,31481
506,31481
507,31481
508,31481
509,31481
510,154203
511,54998
512,54998
513,54998
514,54998
515,54998
516,200680
517,12
518,12
519,12
520,12
521,140620
522,140620
523,140620
524,140620
525,140620
526,140620
527,97207
528,97207
529,97207
530,97207
531,97207
532,97207
533,97207
534,97207
535,97207
536,822
